                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1072,                 2.9886,                 1.2171,                0.79522,                0.73847,                0.87577,                0.68465,                0.79453,                 1.3315,                 1.0342,             0.00011795,             0.00011795,             0.00011795
                      2,                0.86991,                 1.2727,                 1.0702,                0.88777,                0.87547,                0.93478,                0.74937,                0.75434,                0.84887,                 1.0128,             0.00023226,             0.00023226,             0.00023226
                      3,                0.84637,                 1.0376,                 1.0585,                0.92246,                0.92408,                0.98658,                0.77058,                0.81229,                0.74036,                 1.0743,             0.00034185,             0.00034185,             0.00034185
                      4,                0.83935,                0.88159,                   1.07,                0.93786,                0.97884,                0.98784,                0.81046,                0.71048,                0.58846,                 1.0122,             0.00033579,             0.00033579,             0.00033579
                      5,                0.80307,                0.74797,                 1.0572,                0.95818,                0.99166,                0.99413,                0.81755,                0.70478,                0.51343,                 1.0143,             0.00032873,             0.00032873,             0.00032873
                      6,                0.78359,                0.66647,                 1.0452,                  0.952,                0.96395,                0.97974,                0.81145,                0.68212,                0.48694,                0.99466,             0.00032166,             0.00032166,             0.00032166
                      7,                0.77024,                0.64102,                 1.0385,                0.93135,                0.96357,                0.98212,                  0.808,                0.69451,                0.47162,                 1.0199,             0.00031459,             0.00031459,             0.00031459
                      8,                0.74856,                0.61156,                 1.0329,                0.97778,                 0.9922,                0.99288,                0.83417,                 0.6703,                 0.4107,                 1.0042,             0.00030752,             0.00030752,             0.00030752
                      9,                0.76368,                0.56745,                 1.0433,                0.98223,                0.99519,                0.99334,                0.82095,                0.70684,                0.37695,                   1.01,             0.00030045,             0.00030045,             0.00030045
                     10,                0.74864,                0.54448,                 1.0336,                0.97848,                0.99595,                  0.995,                0.83239,                0.66738,                 0.3886,                0.99634,             0.00029338,             0.00029338,             0.00029338
                     11,                0.73085,                0.51306,                 1.0317,                0.98309,                 0.9905,                0.99495,                0.84548,                0.62341,                0.35233,                0.98836,             0.00028631,             0.00028631,             0.00028631
                     12,                0.71951,                 0.5116,                 1.0227,                0.98555,                0.99748,                  0.995,                0.83923,                0.66206,                0.34401,                0.99752,             0.00027925,             0.00027925,             0.00027925
                     13,                0.71767,                0.49081,                  1.028,                0.99028,                      1,                  0.995,                0.84026,                0.64559,                0.33959,                0.99206,             0.00027218,             0.00027218,             0.00027218
                     14,                0.71981,                0.49406,                 1.0313,                0.98123,                0.99176,                0.99359,                0.84409,                0.66317,                 0.3564,                0.99997,             0.00026511,             0.00026511,             0.00026511
                     15,                0.71247,                0.47612,                 1.0174,                0.98623,                0.99691,                0.99495,                0.85095,                0.64524,                0.32671,                0.99134,             0.00025804,             0.00025804,             0.00025804
                     16,                0.70816,                0.45355,                 1.0203,                0.95248,                 0.9984,                0.99365,                0.85108,                0.63789,                0.34961,                0.98538,             0.00025097,             0.00025097,             0.00025097
                     17,                0.71687,                0.45742,                 1.0305,                0.98561,                0.99819,                0.99306,                0.85015,                0.63674,                0.32288,                0.98843,              0.0002439,              0.0002439,              0.0002439
                     18,                0.69919,                0.45418,                 1.0206,                0.98779,                0.99944,                  0.995,                0.85337,                0.63317,                0.31483,                0.99248,             0.00023683,             0.00023683,             0.00023683
                     19,                0.69179,                0.43802,                 1.0076,                0.98658,                0.99877,                0.99495,                0.85468,                0.62984,                0.31019,                0.98465,             0.00022977,             0.00022977,             0.00022977
                     20,                0.68713,                0.44236,                  1.017,                0.99086,                0.99637,                0.99257,                0.84863,                 0.6208,                0.30502,                0.99463,              0.0002227,              0.0002227,              0.0002227
                     21,                0.67252,                0.41116,                  1.006,                0.99143,                      1,                  0.995,                0.86222,                0.60507,                0.29133,                0.97489,             0.00021563,             0.00021563,             0.00021563
                     22,                0.65574,                0.40213,                 1.0056,                0.99172,                0.99686,                  0.995,                0.85532,                0.63644,                0.28964,                  0.999,             0.00020856,             0.00020856,             0.00020856
                     23,                0.68067,                0.42341,                 1.0164,                 0.9901,                0.99533,                0.99491,                0.85731,                0.61897,                0.28456,                0.99983,             0.00020149,             0.00020149,             0.00020149
                     24,                0.66068,                0.40339,                 1.0019,                 0.9896,                0.99678,                0.99491,                0.85537,                0.61985,                0.29633,                0.99415,             0.00019442,             0.00019442,             0.00019442
                     25,                0.67068,                0.40164,                 1.0083,                0.99107,                0.99859,                0.99495,                0.85248,                0.64583,                0.29202,                0.99548,             0.00018735,             0.00018735,             0.00018735
                     26,                0.65712,                0.38534,                0.99647,                0.99072,                0.99582,                0.99471,                0.85863,                0.61909,                0.27429,                0.98923,             0.00018028,             0.00018028,             0.00018028
                     27,                0.65338,                0.38212,                0.99513,                0.98603,                 0.9984,                0.99382,                 0.8581,                 0.6162,                0.28268,                0.98085,             0.00017322,             0.00017322,             0.00017322
                     28,                 0.6452,                0.38041,                0.99586,                0.98999,                 0.9984,                0.99474,                0.86327,                0.59905,                0.27506,                0.97189,             0.00016615,             0.00016615,             0.00016615
                     29,                0.64958,                0.37459,                0.99406,                0.99157,                 0.9984,                0.99394,                0.86402,                 0.6033,                0.26971,                0.96794,             0.00015908,             0.00015908,             0.00015908
                     30,                0.64311,                0.37164,                0.99753,                0.99363,                0.99999,                  0.995,                0.86464,                0.60192,                0.27232,                0.97341,             0.00015201,             0.00015201,             0.00015201
                     31,                0.63691,                0.36981,                0.99175,                0.99216,                0.99845,                  0.995,                0.86738,                0.58789,                0.26275,                0.96161,             0.00014494,             0.00014494,             0.00014494
                     32,                0.64034,                 0.3631,                0.99549,                0.99166,                 0.9984,                0.99359,                0.86393,                0.62916,                  0.261,                0.98764,             0.00013787,             0.00013787,             0.00013787
                     33,                0.63304,                   0.36,                0.99588,                0.98505,                 0.9984,                0.99397,                0.86412,                0.61954,                0.26542,                0.98631,              0.0001308,              0.0001308,              0.0001308
                     34,                0.63011,                0.35458,                0.98085,                0.98913,                 0.9984,                0.99437,                0.86458,                0.59294,                 0.2555,                0.97392,             0.00012374,             0.00012374,             0.00012374
                     35,                0.62873,                0.35092,                0.99498,                0.99248,                0.99662,                0.99396,                0.85858,                0.60627,                0.25525,                 0.9781,             0.00011667,             0.00011667,             0.00011667
                     36,                0.61907,                0.34138,                0.98684,                0.99246,                 0.9984,                0.99459,                0.86263,                 0.5991,                0.25255,                0.97071,              0.0001096,              0.0001096,              0.0001096
                     37,                0.60041,                 0.3412,                0.98031,                0.99336,                      1,                  0.995,                0.86548,                0.58083,                0.25359,                0.96331,             0.00010253,             0.00010253,             0.00010253
                     38,                0.61629,                0.33633,                0.98669,                0.99254,                 0.9984,                 0.9944,                 0.8691,                0.59305,                0.25205,                0.97332,             9.5462e-05,             9.5462e-05,             9.5462e-05
                     39,                0.61386,                0.33514,                0.98262,                0.99398,                0.99712,                  0.995,                  0.874,                0.57893,                0.24504,                0.96421,             8.8393e-05,             8.8393e-05,             8.8393e-05
                     40,                0.60176,                0.32559,                0.97784,                0.99326,                0.99938,                  0.995,                0.87159,                0.57936,                0.24178,                0.96375,             8.1325e-05,             8.1325e-05,             8.1325e-05
                     41,                0.54545,                0.25643,                0.94453,                0.99161,                0.99888,                  0.995,                0.86903,                0.58891,                0.24688,                0.96668,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     42,                0.54183,                0.25595,                0.94182,                0.99295,                0.99739,                  0.995,                 0.8705,                0.58811,                0.24737,                0.96716,             6.7187e-05,             6.7187e-05,             6.7187e-05
                     43,                0.53477,                0.25302,                0.94335,                0.99293,                      1,                  0.995,                0.86921,                0.59052,                0.24444,                0.96672,             6.0119e-05,             6.0119e-05,             6.0119e-05
                     44,                0.53048,                0.24874,                0.92586,                0.99291,                      1,                  0.995,                0.87537,                0.58359,                0.24208,                0.96737,              5.305e-05,              5.305e-05,              5.305e-05
                     45,                0.52138,                0.24138,                0.93367,                0.99443,                      1,                  0.995,                0.87375,                0.58095,                0.23871,                 0.9654,             4.5982e-05,             4.5982e-05,             4.5982e-05
                     46,                0.51961,                0.23762,                 0.9308,                0.99285,                 0.9984,                 0.9944,                0.87387,                0.57798,                0.23594,                0.96379,             3.8913e-05,             3.8913e-05,             3.8913e-05
                     47,                 0.5154,                0.23611,                 0.9288,                0.99428,                0.99964,                  0.995,                0.87184,                 0.5775,                0.23117,                0.96262,             3.1844e-05,             3.1844e-05,             3.1844e-05
                     48,                0.51075,                0.23335,                0.92315,                0.99383,                 0.9984,                0.99386,                0.87428,                0.57961,                 0.2343,                0.96434,             2.4776e-05,             2.4776e-05,             2.4776e-05
                     49,                0.50803,                0.23178,                0.91948,                0.99386,                 0.9984,                0.99468,                0.87264,                 0.5814,                0.23042,                0.96567,             1.7707e-05,             1.7707e-05,             1.7707e-05
                     50,                0.50515,                0.22712,                0.92542,                0.99328,                 0.9984,                0.99465,                0.87007,                0.58164,                0.22869,                0.96506,             1.0639e-05,             1.0639e-05,             1.0639e-05
